B	ID444611561          	AHREWS       	 MARITZA     	A	345  	71ST                
B	ID4447124106882410001	RODREQUE     	 TAWANA      	S	670  	STARKEY             
B	ID4447124106882410002	RODREQUE     	 GERALDINE   	A	670  	STARKEY             
B	ID4447124106896410001	ROUNSVELLE   	 DERRICK     	E	100  	BANKS               
B	ID4447124106923610001	SENTRY       	 IRAN        	R	4906 	BASSWOOD            
B	ID4447124106923610002	SENTRY       	 RAYMOND     	L	4906 	BASSWOOD            
B	ID4447124106923610003	SENTRY       	 ALLICIA     	J	4906 	BASSWOOD            
B	ID4447124106898010001	SHANKS       	 DAVONE      	B	104  	BANKS               
B	ID4447124106898010002	SHANKS       	 LONORA      	S	104  	BANKS               
B	ID4447124106889910001	TORRIS       	 RANDOLFF    	 	680  	STARKEY             
B	ID4447124106889910002	TORRIS       	 FREMAN      	R	680  	STARKEY             
B	ID4447124106904610001	VALDEZ       	 WYANE       	H	723  	RIDLEY              
B	ID4447124106904610002	VALDEZ       	 THERESA     	 	723  	RIDLEY              
B	ID4447124106900410001	VARGAS MUNOZ 	 THUY KIM    	G	727  	RIDLEY              
B	ID4447124106880810001	VARGAS-HERNAN	 BRANDON     	R	664  	STARKEY             
B	ID4447124106880810002	VARGAS-HERNAN	 ALEXANDE    	R	664  	STARKEY             
B	ID4447124106880810003	VARGAS-HERNAN	 ELIZBETH    	L	664  	STARKEY             
B	ID4447124106921010002	WESTERN      	 DONNY       	 	4842 	BASSWOOD            
B	ID4447124106921010001	WESTERN      	 SALLY       	 	4842 	BASSWOOD            
B	ID4447124106914510001	WIZALKOWSKI  	 ALEXDER     	J	210  	BANKS               
B	ID4447124106914510002	WIZALKOWSKI  	 DELORES     	A	210  	BANKS               
B	ID4448125110811710001	CANNON       	 LATESHA     	D	110  	EL DORADO           
B	ID4446121011         	DORSER       	 KATHY       	 	626  	STARKEY             
B	ID4448125110816610003	HOERNING     	 RUFUS       	D	114  	EL DORADO           
B	ID4448125110816610004	HOERNING     	 CHISTOPHER  	D	114  	EL DORADO           
B	ID4448125110816610005	HOERNING     	 ZACNARY     	 	114  	EL DORADO           
B	ID4448125110816610001	HOERNING     	 TRINA       	 	114  	EL DORADO           
B	ID4448125110816610002	HOERNING     	 ANNA        	 	114  	EL DORADO           
B	ID4448125110670710003	JOHNS        	 STEPHEN     	 	4946 	BASSWOOD            
B	ID4448125110670710002	JOHNS        	 GLURIA      	 	4946 	BASSWOOD            
B	ID4448125110808310002	JOLMES       	 GERARDO     	F	108  	EL DORADO           
B	ID4448125110808310003	JOLMES       	 FRANCISO    	D	108  	EL DORADO           
B	ID4448125110808310004	JOLMES       	 ERIK        	D	108  	EL DORADO           
B	ID4448125110808310001	JOLMES       	 LUCILE      	 	108  	EL DORADO           
B	ID4446120210         	KENNY        	 DANYAE      	 	624  	STARKEY             
B	ID4448125110820810001	SPRIGGS      	 RAY         	 	113  	EL DORADO           
B	ID4448125110821610001	TREAEVANT    	 JACKIE      	M	111  	EL DORADO           
B	ID4448125110821610002	TREAEVANT    	 ANNA        	M	111  	EL DORADO           
B	ID4450127238387310002	ALSTON       	 LED         	E	612  	OCONEE              
B	ID4450127238387310003	ALSTON       	 MICHAEL     	 	612  	OCONEE              
B	ID4450127238387310001	ALSTON       	 ROSEMARY    	 	612  	OCONEE              
B	ID44461220543        	BARRETT      	 KENDALL     	 	634  	STARKEY             
B	ID44461220533        	BARRETT      	 YUNAISY     	L	634  	STARKEY             
B	ID4450127238383210002	CAMBLE       	 ANTOIENO    	E	     	6041 / 2 OCONEE     
B	ID4450127238383210001	CAMBLE       	 JESSICIA    	A	     	6041 / 2 OCONEE     
B	ID4450127238383210004	CAMBLE       	 MARNELA     	E	     	6041 / 2 OCONEE     
B	ID4450127238376610001	CARL         	 DERRYL      	B	501  	RUBY                
B	ID4450127238376610003	CARL         	 BARRY       	J	501  	RUBY                
B	ID4450127238376610002	CARL         	 ROSELIME    	D	501  	RUBY                
B	ID4450127238404610002	CARTIER      	 RODERICK    	C	14135	22                  
B	ID4450127238404610001	CARTIER      	 JOAN        	 	14135	22                  
B	ID4450127238379010003	CARVAJAL     	 ADRIAN      	L	607  	MARTIN LUTHER K     
B	ID4450127238379010004	CARVAJAL     	 STEVEN      	D	607  	MARTIN LUTHER K     
B	ID4450127238379010001	CARVAJAL     	 MILISSA     	L	607  	MARTIN LUTHER K     
B	ID4450127238379010002	CARVAJAL     	 SARA        	L	607  	MARTIN LUTHER K     
B	ID4450127238398010001	CHAMBERS     	 LAURENCE    	 	14180	22                  
B	ID4450127238398010002	CHAMBERS     	 EUGENIO     	E	14180	22                  
B	ID445012723835840000 	COBY         	 MIKE        	D	303  	MAIN                
B	ID445012723835840000 	COBY         	 WILIAMS     	A	303  	MAIN                
B	ID445012723835840000 	COBY         	 ANGELA      	 	303  	MAIN                
B	ID445012723835840000 	COBY         	 LASHIWN     	Y	303  	MAIN                
B	ID4450127238362610001	CRIBER       	 GOILLERMO   	E	106  	WARE                
B	ID4450127238362610002	CRIBER       	 MARCOS      	M	106  	WARE                
B	ID4450127238399810001	DAVIS        	 WINDY       	E	14220	22                  
B	ID4450127238399810002	DAVIS        	 MICHELLE    	N	14220	22                  
B	ID4450127238399810003	DAVIS        	 RENNE       	M	14220	22                  
B	ID4450127238399810004	DAVIS        	 SARA        	N	14220	22                  
B	ID4450127238359210001	DEGRAGENRIED 	 JERARDO     	D	128  	WARE                
B	ID4450127238359210002	DEGRAGENRIED 	 ALLEN       	R	128  	WARE                
B	ID44461221227        	DICKERSON    	 MARY LOU    	 	638  	STARKEY             
B	ID4450127238378210004	EASELY       	 MATHEW      	 	613  	MARTIN LUTHER K     
B	ID4450127238378210001	EASELY       	 FLORY       	D	613  	MARTIN LUTHER K     
B	ID4450127238378210002	EASELY       	 KERRY       	D	613  	MARTIN LUTHER K     
B	ID4450127238378210003	EASELY       	 NILSAIVETTE 	D	613  	MARTIN LUTHER K     
B	ID4450127238355010001	ELLICATT-KEAN	 SHERYL      	 	102  	CHURCH              
B	ID4450127238355010002	ELLICATT-KEAN	 ELAINE      	A	102  	CHURCH              
B	ID44461220734        	FOSTER       	 MARYANN     	 	636  	STARKEY             
B	ID4450127238406110001	FRY          	 EPHNY       	B	14225	22 PC               
B	ID4450127238352710002	GARNER       	 DANNY       	 	100  	GEORGE              
B	ID4450127238352710003	GARNER       	 ROBERTO     	R	100  	GEORGE              
B	ID4450127238352710001	GARNER       	 MAJORIE     	A	100  	GEORGE              
B	ID4450127238360010001	GARRET       	 SHARNETT    	R	124  	WARE                
B	ID4450127238360010002	GARRET       	 HARRET      	 	124  	WARE                
B	ID4450127238349310001	GORODN       	 KRISTY LEIGH	L	303  	WOODHAVEN           
B	ID4450127238349310002	GORODN       	 DIANE MARIE 	 	303  	WOODHAVEN           
B	ID4450127238349310003	GORODN       	 ROSE MARIE  	 	303  	WOODHAVEN           
B	ID4450127238384010001	GREEN        	 EDVARDO     	A	606  	OCONEE              
B	ID4450127238384010002	GREEN        	 SANDRA      	C	606  	OCONEE              
B	ID4450127238384010003	GREEN        	 ANNE        	A	606  	OCONEE              
B	ID4450127238384010004	GREEN        	 MICHELLE    	M	606  	OCONEE              
B	ID4450127238384010005	GREEN        	 ROSETTE     	A	606  	OCONEE              
B	ID44461230326        	HACHETT      	 CORTE       	D	640  	STARKEY             
B	ID44461230328        	HACHETT      	 DENARIO     	E	640  	STARKEY             
B	ID44461230330        	HACHETT      	 EYVETTE     	D	640  	STARKEY             
B	ID44461230332        	HACHETT      	 ALISA       	Y	640  	STARKEY             
B	ID4450127238374110002	HAMMOND      	 JOAMES      	 	505  	RUBY                
B	ID4450127238374110003	HAMMOND      	 LENWOOD REV 	 	505  	RUBY                
B	ID4450127238374110001	HAMMOND      	 TRACI       	R	505  	RUBY                
B	ID4450127238405310002	HASKINS      	 STEFAN      	 	14215	22                  
B	ID4450127238405310001	HASKINS      	 PAMELA      	T	14215	22                  
B	ID445012723838570000 	HEAVAENER    	 FLORRE      	 	608  	OCONEE              
B	ID445012723838570000 	HEAVAENER    	 JEFFREY     	S	608  	OCONEE              
B	ID445012723838570000 	HEAVAENER    	 WILSREVO    	 	608  	OCONEE              
B	ID4450127238390710001	HENRIKSON    	 SAMIAR      	I	618  	OCONEE              
B	ID4450127238390710002	HENRIKSON    	 SAMANTHA    	H	618  	OCONEE              
B	ID4450127238390710003	HENRIKSON    	 DOROTHEA    	T	618  	OCONEE              
B	ID4450127238390710004	HENRIKSON    	 DONNA MARIE 	E	618  	OCONEE              
B	ID4450127238390710005	HENRIKSON    	 PHYLLIS     	L	618  	OCONEE              
B	ID4450127238397210001	HOLLY        	 MICHAEL     	T	14170	22                  
B	ID4450127238397210003	HOLLY        	 DAMOEN      	T	14170	22                  
B	ID4450127238397210002	HOLLY        	 CATHRINE    	A	14170	22                  
B	ID4450127238397210004	HOLLY        	 CHARCOTTE   	E	14170	22                  
B	ID4450127238380810001	HOSHINGTON   	 JEFFREY     	P	603  	MARTIN LUTHER K     
B	ID4450127238380810003	HOSHINGTON   	 STEVEN      	I	603  	MARTIN LUTHER K     
B	ID4450127238380810004	HOSHINGTON   	 MAURI       	P	603  	MARTIN LUTHER K     
B	ID4450127238380810002	HOSHINGTON   	 XLONARA     	E	603  	MARTIN LUTHER K     
B	ID44461220129        	HULLEY       	 ANTHONY     	B	628  	STARKEY             
B	ID44461220142        	HULLEY       	 DIANE       	M	628  	STARKEY             
B	ID4450127238388110002	HUSSEINKEL   	 ARCHIBALD   	 	614  	OCONEE              
B	ID4450127238372510001	HUTSON       	 JACQUELIN   	 	3886 	HWY 54              
B	ID4450127238381610002	IRVIN        	 ALEJANDRO   	A	601  	MARTIN LUTHER K     
B	ID4450127238381610003	IRVIN        	 IVAN        	E	601  	MARTIN LUTHER K     
B	ID4450127238381610001	IRVIN        	 ZIONAIRE    	T	601  	MARTIN LUTHER K     
B	ID4450127238391510002	KLEINMAN     	 ANTONIA     	B	622  	OCONEE              
B	ID4450127238391510001	KLEINMAN     	 JOSLYN      	V	622  	OCONEE              
B	ID4450127238350110001	KOUPE        	 MARCO       	 	104  	GEORGE              
B	ID4450127238368310004	KUMOR        	 DINWARDO    	A	3820 	HWY 54              
B	ID4450127238368310001	KUMOR        	 BERNADINE   	 	3820 	HWY 54              
B	ID4450127238368310003	KUMOR        	 TERRENCE    	L	3820 	HWY 54              
B	ID4450127238368310005	KUMOR        	 ZAKAYA      	C	3820 	HWY 54              
B	ID445012723836910000 	KUMOR        	 DAGOBERTO   	 	3840 	HWY 54              
B	ID445012723836910000 	KUMOR        	 CORRINE     	 	3840 	HWY 54              
B	ID4450127238386510001	LESCO        	 CLARENCE    	 	610  	OCONEE              
B	ID4450127238386510002	LESCO        	 BAN         	 	610  	OCONEE              
B	ID4450127238409510001	MARTINEZ     	 ERICA       	 	14255	22                  
B	ID4450127238353510002	MATEO        	 DELHAM      	 	101  	JOHNSON             
B	ID4450127238353510003	MATEO        	 GEORGE DR   	L	101  	JOHNSON             
B	ID4450127238353510001	MATEO        	 ANGLA       	E	101  	JOHNSON             
B	ID4450127238353510004	MATEO        	 JESSE       	 	101  	JOHNSON             
B	ID4450127238403810002	MCALISTER    	 GEOFFRY     	M	14270	22                  
B	ID4450127238403810001	MCALISTER    	 JANETT      	M	14270	22                  
B	ID44461230536        	MITCHELL     	 THE IMA     	V	650  	STARKEY             
B	ID4450127257775510002	MOHRINA      	 DOMINIC     	B	701  	31                  
B	ID4450127257775510001	MOHRINA      	 JANIS       	M	701  	31                  
B	ID4450127238348510001	MOSER        	 SHIRLEY     	 	305  	WOODHAVEN           
B	ID4450127238364210001	MUCCIO       	 ORESTES     	S	106  	1/2 WARE            
B	ID4450127238364210002	MUCCIO       	 LIVIA       	E	106  	1/2 WARE            
B	ID4450127238354310001	OLOWOKAKOKO  	 GREGORY     	S	103  	JOHNSON             
B	ID4450127238354310003	OLOWOKAKOKO  	 AE          	A	103  	JOHNSON             
B	ID445012723837330000 	PARK         	 VERCONIA    	 	3960 	HWY 54              
B	ID445012723837330000 	PARK         	 DELORES     	 	3960 	HWY 54              
B	ID4450127238375810001	PETTRICH     	 JOHNNIE     	 	503  	RUBY                
B	ID445012723837740000 	REEVES       	 WILLY       	L	625  	MARTIN LUTHER K     
B	ID445012723837740000 	REEVES       	 DOUGLASS    	F	625  	MARTIN LUTHER K     
B	ID445012723837740000 	REEVES       	 NWAMAKA     	M	625  	MARTIN LUTHER K     
B	ID4450127238395610001	REICHENBERG  	 SUE         	L	14150	22                  
B	ID4450127238395610002	REICHENBERG  	 TRUDY       	A	14150	22                  
B	ID4450127238407910002	RODRIGUES    	 QUINTON     	 	14235	22                  
B	ID4450127238407910001	RODRIGUES    	 STEPHINE    	 	14235	22                  
B	ID4450127238396410001	ROGLIN       	 REYANN      	J	14160	22                  
B	ID4450127238401210003	ROTHCHILD    	 PHILIP      	 	14240	224                 
B	ID4450127238401210001	ROTHCHILD    	 JAYANN      	L	14240	224                 
B	ID4450127238401210002	ROTHCHILD    	 HILDRED     	E	14240	224                 
B	ID4450127238361810002	RUDAGILL     	 DOMINI      	A	122  	WARE                
B	ID4450127238361810004	RUDAGILL     	 SEPTIMIO    	E	122  	WARE                
B	ID4450127238361810001	RUDAGILL     	 KIMBERY     	L	122  	WARE                
B	ID4450127238361810003	RUDAGILL     	 ALASIA      	M	122  	WARE                
B	ID4450127238371710001	RUIHLING     	 TRACIE LEE  	D	3870 	HWY 54              
B	ID4450127238371710002	RUIHLING     	 MELLISSA    	A	3870 	HWY 54              
B	ID4450127238393110002	RUSSELL      	 MIRIAM      	S	624  	OCONEE              
B	ID4450127238393110003	RUSSELL      	 JONGE       	L	624  	OCONEE              
B	ID4450127238393110001	RUSSELL      	 LYNN        	C	624  	OCONEE              
B	ID4450127238382410004	SHAWQI       	 CHARES      	 	600  	OCONEE              
B	ID4450127238382410005	SHAWQI       	 ISAREL      	 	600  	OCONEE              
B	ID4450127238382410001	SHAWQI       	 MARYCAROLE  	 	600  	OCONEE              
B	ID44461220231        	SINEFIELD    	 SHEILA      	 	632  	STARKEY             
B	ID445012723840870000 	SOLLIVAN     	 EVENS       	 	14245	22                  
B	ID445012723840870000 	SOLLIVAN     	 BRANDIE     	D	14245	22                  
B	ID445012723840870000 	SOLLIVAN     	 ANNE        	G	14245	22                  
B	ID4450127238366710001	SQUILLANGE   	 LOUIS       	A	3556 	HWY 54              
B	ID4450127238366710002	SQUILLANGE   	 GERARD      	A	3556 	HWY 54              
B	ID4450127238400410001	SYKES        	 KATHY       	M	14230	22                  
B	ID4450127238356810001	TUNSTALL     	 NICOLE      	 	201  	MAIN                
B	ID4450127238356810002	TUNSTALL     	 MARY ANNE   	C	201  	MAIN                
B	ID4450127238356810003	TUNSTALL     	 HARRIET     	J	201  	MAIN                
B	ID4445112314670610001	BRAND        	 ALAN        	J	7126 	2ND                 
B	ID4445112314670610002	BRAND        	 ANN         	D	7126 	2ND                 
B	ID4445113314679710001	CARTE        	 JEANNE      	 	410  	72ND                
B	ID44461181048        	DAVID        	 TRYONE      	M	618  	STARKEY             
B	ID44461181049        	DAVID        	 HOANG       	 	618  	STARKEY             
B	ID4445113314682110001	DOCUTY       	 DOUGLAS     	S	7134 	3RD                 
B	ID4445113314682110002	DOCUTY       	 MICHELLE    	C	7134 	3RD                 
B	ID4445113314680510001	DUFFY-TYLER  	 LAWRENCE    	A	400  	72ND                
B	ID4445113314680510003	DUFFY-TYLER  	 DAVID       	F	400  	72ND                
B	ID4445113314680510004	DUFFY-TYLER  	 BEN         	M	400  	72ND                
B	ID4445113314680510002	DUFFY-TYLER  	 ALLICIA     	 	400  	72ND                
B	ID4445113314680510005	DUFFY-TYLER  	 GERALDINE   	L	400  	72ND                
B	ID4445113314680510006	DUFFY-TYLER  	 NATASHA     	 	400  	72ND                
B	ID4445113314675510001	ELM          	 GISUS       	A	419  	VILLAGRANDE         
B	ID4445113314675510002	ELM          	 ETHLEW      	J	419  	VILLAGRANDE         
B	ID44461161345        	FENSTER-PENNE	 JEANNE      	L	610  	STARKEY             
B	ID4445113314674810001	GASBARRD     	 PABLO       	V	401  	VILLAGRANDE         
B	ID4445113314674810002	GASBARRD     	 LE ANNE     	G	401  	VILLAGRANDE         
B	ID4445113314674810003	GASBARRD     	 AFRIN       	K	401  	VILLAGRANDE         
B	ID4445113314674810005	GASBARRD     	 JO ANNE     	M	401  	VILLAGRANDE         
B	ID44461160444        	GEHRING      	 BIANCA      	A	602  	STARKEY             
B	ID44461161046        	HACKER       	 ZUNZELL     	M	606  	STARKEY             
B	ID44461161047        	HACKER       	 CORNLIUS    	M	606  	STARKEY             
B	ID44461160351        	HALLORAW     	 MARIEA      	A	600  	STARKEY             
B	ID4445113314681310001	HELER        	 DIXIE       	J	380  	72ND                
B	ID4445113314681310003	HELER        	 DORIAN      	J	380  	72ND                
B	ID4445113314681310002	HELER        	 TEAIRA      	J	380  	72ND                
B	ID4445113314681310004	HELER        	 ANGELEAN    	M	380  	72ND                
B	ID4445112314672210001	HOOPER       	 ARISTIDIS   	C	7100 	2ND                 
B	ID4445112314672210003	HOOPER       	 CARLO       	C	7100 	2ND                 
B	ID4445112314672210002	HOOPER       	 ROSETTA     	B	7100 	2ND                 
B	ID4445112314666410001	HUBRICK      	 CHARLS      	P	7127 	3RD                 
B	ID4445112314666410002	HUBRICK      	 JANICE      	 	7127 	3RD                 
B	ID4445113314673010001	PAINE-WELLS  	 SIFRIDO     	J	231  	71ST                
B	ID4445113314673010003	PAINE-WELLS  	 ABEL        	 	231  	71ST                
B	ID4445113314673010004	PAINE-WELLS  	 WALDO       	J	231  	71ST                
B	ID4445113314673010005	PAINE-WELLS  	 IGANACIO    	J	231  	71ST                
B	ID4445113314673010002	PAINE-WELLS  	 BARBRA      	L	231  	71ST                
B	ID4445113314676310001	PENSMITH     	 JEFFERY     	J	427  	VILLAGRANDE         
B	ID4445113314676310002	PENSMITH     	 THRESSA     	A	427  	VILLAGRANDE         
B	ID4445113314676310003	PENSMITH     	 ANN         	A	427  	VILLAGRANDE         
B	ID4445112314667210001	POLLOCK      	 ANDREW      	 	7139 	3RD                 
B	ID4445112314667210003	POLLOCK      	 JAMAL       	F	7139 	3RD                 
B	ID4445112314667210005	POLLOCK      	 DAVON       	S	7139 	3RD                 
B	ID4445112314667210006	POLLOCK      	 SHAUN       	P	7139 	3RD                 
B	ID4445112314667210002	POLLOCK      	 MIRIAN      	J	7139 	3RD                 
B	ID4445112314667210004	POLLOCK      	 LEHA        	A	7139 	3RD                 
B	ID44461160650        	REEVER       	 KENNETH     	A	604  	STARKEY             
B	ID4445112314671410001	ROWAN        	 CRISTOPHER  	J	7112 	2ND                 
B	ID4445112314671410004	ROWAN        	 ERNEST      	A	7112 	2ND                 
B	ID4445112314671410002	ROWAN        	 CATHERINE   	 	7112 	2ND                 
B	ID4445112314671410003	ROWAN        	 ALFREDA     	L	7112 	2ND                 
B	ID4445113314678910001	SANDERS      	 NICHOLAS    	G	430  	72ND                
B	ID4445113314678910002	SANDERS      	 KATHY       	L	430  	72ND                
B	ID4445112314665610001	SCHWARTZ     	 JOAN        	F	7121 	3RD                 
B	ID4445112314665610002	SCHWARTZ     	 PATRICIA    	E	7121 	3RD                 
B	ID4445113314677110001	SMALL        	 JEFFERY     	P	441  	VILLAGRANDE         
B	ID4445113314677110002	SMALL        	 ENGER       	B	441  	VILLAGRANDE         
B	ID4445112314664910001	VELL         	 GLORIANE    	M	7111 	3RD                 
B	ID4449126128949510001	ARCHBR       	 MACK        	C	309  	WOODHAVEN           
B	ID4449126128949510002	ARCHBR       	 J           	A	309  	WOODHAVEN           
B	ID4449126128936210001	BELTAN       	 ELAM        	A	114  	BRANTWOOD           
B	ID4449126128936210004	BELTAN       	 WYLIE       	A	114  	BRANTWOOD           
B	ID4449126128936210002	BELTAN       	 GISELLA     	M	114  	BRANTWOOD           
B	ID4449126128936210003	BELTAN       	 RUTHANN     	M	114  	BRANTWOOD           
B	ID4449126128933910001	BETRAN       	 LAWRENE     	 	108  	BRANTWOOD           
B	ID4449126128933910003	BETRAN       	 JEFFREY     	 	108  	BRANTWOOD           
B	ID4449126128933910002	BETRAN       	 SOLITA      	 	108  	BRANTWOOD           
B	ID4449126128947910001	COGER        	 EDDIE       	M	313  	WOODHAVEN           
B	ID4449126128947910003	COGER        	 EARL        	M	313  	WOODHAVEN           
B	ID4449126128947910002	COGER        	 ROSSITA     	J	313  	WOODHAVEN           
B	ID4449126128942010001	DORSLY       	 GARY        	S	503  	WOODHAVEN           
B	ID4449126128942010002	DORSLY       	 MELLISA     	J	503  	WOODHAVEN           
B	ID4449126128942010003	DORSLY       	 DEBNA       	M	503  	WOODHAVEN           
B	ID4449126128942010004	DORSLY       	 EDNA        	L	503  	WOODHAVEN           
B	ID4449126128948710001	DRENNON      	 ISAAC       	F	311  	WOODHAVEN           
B	ID4449126128948710003	DRENNON      	 EARNEST     	R	311  	WOODHAVEN           
B	ID4449126128948710002	DRENNON      	 THERSA      	A	311  	WOODHAVEN           
B	ID4449126128939610001	FLEET        	 JOHNNIE     	 	514  	WOODHAVEN           
B	ID4449126128939610002	FLEET        	 ANTOINETTE  	 	514  	WOODHAVEN           
B	ID4449126128944610002	FLOWER       	 STANLEY     	J	405  	WOODHAVEN           
B	ID4449126128944610001	FLOWER       	 CORNELIA    	M	405  	WOODHAVEN           
B	ID4449126128929710001	GALINDE      	 KENNETH     	E	100  	BRANTWOOD           
B	ID4449126128929710002	GALINDE      	 ENZNZELLE   	E	100  	BRANTWOOD           
B	ID4449126128929710003	GALINDE      	 LACHELLE    	G	100  	BRANTWOOD           
B	ID4449126128929710004	GALINDE      	 CHATYRA     	M	100  	BRANTWOOD           
B	ID4449126128932110001	HILLEGASS    	 JOHNNIE     	E	106  	BRANTWOOD           
B	ID4449126128932110002	HILLEGASS    	 JENIA       	 	106  	BRANTWOOD           
