A	ID4447124106922810001	ANDERSON     	             	 	4848 	BASSWOOD            
A	ID4447124106899810002	DANIEL LEIVA 	 THAOLYNN    	R	729  	RIDLEY              
A	ID4447124106915210001	DARCOURT     	             	G	4802 	BASSWOOD            
A	ID4447124106909510001	DECANAY      	 MICHEAL     	A	112  	MITCHELL            
A	ID4447124106909510002	DECANAY      	 AJASIA      	M	112  	MITCHELL            
A	ID4447124106909510003	DECANAY      	 BRIANCE     	G	112  	MITCHELL            
A	ID4447124106877410001	DIVERS       	 MILEORD     	J	658  	STARKEY             
A	ID4447124106883210001	DOMINGUEZ    	 FRANKLIN    	K	672  	STARKEY             
A	ID4447124106883210002	DOMINGUEZ    	 SHAVON      	M	672  	STARKEY             
A	ID4447124106874110001	FAUST        	 ANNA        	N	652  	STARKEY             
A	ID4447124106908710003	FISCHGRUND   	 WESTLEY     	M	110  	MITCHELL            
A	ID4447124106908710001	FISCHGRUND   	 NADESDIA    	A	110  	MITCHELL            
A	ID4447124106908710002	FISCHGRUND   	 DANYCE      	L	110  	MITCHELL            
A	ID4447124106892310001	GENE         	 MICHAEL     	C	686  	STARKEY             
A	ID4447124106892310002	GENE         	 CASSANDRA   	C	686  	STARKEY             
A	ID4447124106913710002	GIERINGER    	 GHOLOM      	W	200  	BANK                
A	ID4447124106913710003	GIERINGER    	 JEFFERY     	W	200  	BANK                
A	ID4447124106913710004	GIERINGER    	 JEFFERY     	W	200  	BANK                
A	ID4447124106913710005	GIERINGER    	 DOUGLAS     	D	200  	BANK                
A	ID4447124106913710001	GIERINGER    	 MAIRE       	T	200  	BANK                
A	ID4447124106917810001	GREEN        	 TEMPESTT    	Z	4816 	BASSWOOD            
A	ID4447124106917810002	GREEN        	             	L	4816 	BASSWOOD            
A	ID4447124106906110001	HENNEGGEY    	             	L	102  	MITCHELL            
A	ID4447124106906110002	HENNEGGEY    	             	L	102  	MITCHELL            
A	ID4447124106916010001	HILL         	 RAYMOND     	G	4810 	BASSWOOD            
A	ID4447124106910310001	JIMENCZ      	 IRVIN       	V	214  	BANK                
A	ID4447124106910310003	JIMENCZ      	 AUNDERE     	V	214  	BANK                
A	ID4447124106910310002	JIMENCZ      	 WILLPAMINA  	S	214  	BANK                
A	ID4447124106885710001	JIMENEZ      	 BARBARA     	M	674  	STARKEY             
A	ID4447124258794710001	KAY          	             	 	4926 	BASSWOOD            
A	ID4447124258795410001	KELLY        	             	 	4932 	BASSWOOD            
A	ID4447124106924410001	KILLION      	 JORGE       	L	4914 	BASSWOOD            
A	ID4447124106911110002	LAKATOS      	 TONYA       	M	206  	BANK                
A	ID4447124106911110001	LAKATOS      	 DANEILLE    	S	206  	BANK                
A	ID4447124106875810001	LASSITER     	             	J	654  	STARKEY             
A	ID4447124106875810002	LASSITER     	             	 	654  	STARKEY             
A	ID4447124106876610001	LASSITER     	 DOROTHEA    	K	656  	STARKEY             
A	ID4447124106876610002	LASSITER     	 LELIA       	 	656  	STARKEY             
A	ID4447124106907910001	LETO         	 JOSEPH      	E	104  	MITCHELL            
A	ID4447124106887310002	MALDONADO    	 DEWIGHT     	B	678  	STARKEY             
A	ID4447124106887310003	MALDONADO    	 MARQUISE    	 	678  	STARKEY             
A	ID4447124106887310001	MALDONADO    	 MABLE       	 	678  	STARKEY             
A	ID4447124106905310002	MALENDES     	             	 	705  	RIDLEY              
A	ID4447124106905310001	MALENDES     	             	A	705  	RIDLEY              
A	ID4447124106925120002	MCCLAIN      	             	 	4920 	BASSWOOD            
A	ID4447124106890710001	MOSQUERA     	 AISHA       	C	682  	STARKEY             
A	ID4447124106890710004	MOSQUERA     	 ANDREA      	G	682  	STARKEY             
A	ID4447124106890710002	MOSQUERA     	 ROMINE      	O	682  	STARKEY             
A	ID4447124106890710003	MOSQUERA     	 TANYA       	O	682  	STARKEY             
A	ID4447124106890710005	MOSQUERA     	 PRINCETTA   	D	682  	STARKEY             
A	ID4447124106890710006	MOSQUERA     	 LAKESHIA    	O	682  	STARKEY             
A	ID4447124106891510001	MOSQUERA     	 HERMEN      	M	684  	STARKEY             
A	ID4447124106919410002	PAIGIE       	 XANTHE      	N	4830 	BASSWOOD            
A	ID4447124106886510001	PARVA        	 JEMES       	V	676  	STARKEY             
A	ID4447124106886510002	PARVA        	             	G	676  	STARKEY             
A	ID4447124106882410001	RODRIGUEZ    	 TOWANDA     	S	670  	STARKEY             
A	ID4447124106882410002	RODRIGUEZ    	 GEARLDINE   	 	670  	STARKEY             
A	ID4447124106896410001	ROUNSEVELLE  	 DEREK       	 	100  	BANK                
A	ID4447124106898010001	SKANOS       	 DAVON       	B	104  	BANK                
A	ID4447124106898010002	SKANOS       	 LENORA      	S	104  	BANK                
A	ID4447124106889910001	TORRES       	 RANDOLPH    	E	680  	STARKEY             
A	ID4447124106889910002	TORRES       	 FREEMAN     	R	680  	STARKEY             
A	ID4447124106904610001	VALDES       	 WAYNE       	H	723  	RIDLEY              
A	ID4447124106904610002	VALDES       	 THRESA      	 	723  	RIDLEY              
A	ID4447124106880810001	VARGAS       	 BRANDEN     	R	664  	STARKEY             
A	ID4447124106880810002	VARGAS       	 ALEXANDER   	R	664  	STARKEY             
A	ID4447124106880810003	VARGAS       	 ELIZABETH   	L	664  	STARKEY             
A	ID4447124106900410001	VARGAS       	 THUYKIM     	 	727  	RIDLEY              
A	ID4447124106921010002	WEBSTER      	 DANNY       	A	4842 	BASSWOOD            
A	ID4447124106921010001	WEBSTER      	 SHALLY      	 	4842 	BASSWOOD            
A	ID4447124106914510001	WICZALKOWSKI 	 ALEXANDER   	J	210  	BANK                
A	ID4447124106914510002	WICZALKOWSKI 	 DOLORES     	A	210  	BANK                
A	ID4448125110715010004	BANK         	             	D	6540 	MALIBU              
A	ID4448125110715010005	BANK         	             	 	6540 	MALIBU              
A	ID4448125110715010001	BANK         	             	A	6540 	MALIBU              
A	ID4448125110715010002	BANK         	             	P	6540 	MALIBU              
A	ID4448125110715010003	BANK         	             	P	6540 	MALIBU              
A	ID4448125110796010002	BARNES       	             	B	6550 	MALIBU              
A	ID4448125110796010001	BARNES       	             	C	6550 	MALIBU              
A	ID4448125110797810002	BURGERSS     	             	L	6556 	MALIBU              
A	ID4448125110797810003	BURGERSS     	             	D	6556 	MALIBU              
A	ID4448125110797810001	BURGERSS     	             	L	6556 	MALIBU              
A	ID4448125110798610004	BURGESS      	             	L	6560 	MALIBU              
A	ID4448125110798610001	BURGESS      	             	E	6560 	MALIBU              
A	ID4448125110798610002	BURGESS      	             	C	6560 	MALIBU              
A	ID4448125110798610003	BURGESS      	             	D	6560 	MALIBU              
A	ID4448125110699610001	BURRISS      	             	A	6500 	MALIBU              
A	ID4448125110699610002	BURRISS      	             	 	6500 	MALIBU              
A	ID4448125110699610003	BURRISS      	             	 	6500 	MALIBU              
A	ID4448125110795210001	BUTLER       	             	 	6546 	MALIBU              
A	ID4448125110801810002	CHISOLM      	             	A	6578 	MALIBU              
A	ID4448125110801810001	CHISOLM      	             	J	6578 	MALIBU              
A	ID4448125110800010001	COATES       	             	 	6566 	MALIBU              
A	ID4448125110811710001	CONRON       	 LATISHA     	D	110  	ELDORADO            
A	ID4448125110714310002	COTTEN       	             	C	6526 	MALIBU              
A	ID4448125110714310003	COTTEN       	             	R	6526 	MALIBU              
A	ID4448125110714310001	COTTEN       	             	A	6526 	MALIBU              
A	ID4448125110698810002	DIGGS        	             	A	4952 	BASSWOOD            
A	ID4448125110698810001	DIGGS        	             	A	4952 	BASSWOOD            
A	ID4448125110818210001	DORSIE       	             	A	117  	ELDORADO            
A	ID4448125110805910001	DUNNOCK      	             	M	953  	CARL VINSON         
A	ID4448125110819010001	GOINS        	             	L	115  	ELDORADO            
A	ID4448125110819010002	GOINS        	             	T	115  	ELDORADO            
A	ID4448125110819010003	GOINS        	             	R	115  	ELDORADO            
A	ID4448125110819010004	GOINS        	             	 	115  	ELDORADO            
A	ID4448125110705110002	GOWANS       	             	D	6520 	MALIBU              
A	ID4448125110705110001	GOWANS       	             	M	6520 	MALIBU              
A	ID4448125110816610003	HOERRLING    	 REFUS       	D	114  	ELDORADO            
A	ID4448125110816610004	HOERRLING    	 CHRISTOPHER 	D	114  	ELDORADO            
A	ID4448125110816610005	HOERRLING    	 ZACHARY     	B	114  	ELDORADO            
A	ID4448125110816610001	HOERRLING    	 TRAINA      	A	114  	ELDORADO            
A	ID4448125110816610002	HOERRLING    	 ANA         	C	114  	ELDORADO            
A	ID4448125110808310002	HOLMES       	 GERALDO     	S	108  	ELDORADO            
A	ID4448125110808310003	HOLMES       	 FRANCISCO   	D	108  	ELDORADO            
A	ID4448125110808310004	HOLMES       	 ERICK       	D	108  	ELDORADO            
A	ID4448125110808310001	HOLMES       	 LUCILLE     	W	108  	ELDORADO            
A	ID4448125110808310005	HOLMES       	             	 	108  	ELDORADO            
A	ID4448125110822410001	HUGGINCHES   	             	R	109  	ELDORADO            
A	ID4448125110822410002	HUGGINCHES   	             	R	109  	ELDORADO            
A	ID4448125110822410004	HUGGINCHES   	             	A	109  	ELDORADO            
A	ID4448125110822410003	HUGGINCHES   	             	M	109  	ELDORADO            
A	ID4448125110815810005	HUTCHINSON   	             	 	112  	ELDORADO            
A	ID4448125110815810001	HUTCHINSON   	             	 	112  	ELDORADO            
A	ID4448125110815810003	HUTCHINSON   	             	 	112  	ELDORADO            
A	ID4448125110815810004	HUTCHINSON   	             	 	112  	ELDORADO            
A	ID4448125110817410001	LEVEN        	             	M	957  	CARL VINSON         
A	ID4448125110702810002	MATKIN       	             	L	6514 	MALIBU              
A	ID4448125110702810003	MATKIN       	             	L	6514 	MALIBU              
A	ID4448125110702810004	MATKIN       	             	 	6514 	MALIBU              
A	ID4448125110702810001	MATKIN       	             	 	6514 	MALIBU              
A	ID4448125110701010004	OWENS        	             	L	6508 	MALIBU              
A	ID4448125110701010006	OWENS        	             	G	6508 	MALIBU              
A	ID4448125110701010001	OWENS        	             	E	6508 	MALIBU              
A	ID4448125110701010002	OWENS        	             	T	6508 	MALIBU              
A	ID4448125110701010003	OWENS        	             	N	6508 	MALIBU              
A	ID4448125110701010005	OWENS        	             	S	6508 	MALIBU              
A	ID4448125110807510001	PAIGE        	             	 	106  	ELDORADO            
A	ID4448125110820810001	SPRINGGS     	 ROY         	 	113  	ELDORADO            
A	ID4448125110803410002	SYKES        	             	 	4901 	MONTEGO             
A	ID4448125110803410003	SYKES        	             	 	4901 	MONTEGO             
A	ID4448125110803410001	SYKES        	             	 	4901 	MONTEGO             
A	ID4448125110803410004	SYKES        	             	 	4901 	MONTEGO             
A	ID4448125110804210001	THOMPSON     	 ROSETTA     	 	6532 	MALIBU              
A	ID4448125110821610001	TREZEVANT    	 JACQUELINE  	M	111  	ELDORADO            
A	ID4448125110821610002	TREZEVANT    	 ANA         	M	111  	ELDORADO            
A	ID4448125110821610003	TREZEVANT    	             	T	111  	ELDORADO            
A	ID4448125110802610002	WHITAKER     	             	F	4913 	MONTEGO             
A	ID4448125110802610001	WHITAKER     	             	C	4913 	MONTEGO             
A	ID4448125110802610003	WHITAKER     	             	M	4913 	MONTEGO             
A	ID4448125110802610004	WHITAKER     	             	T	4913 	MONTEGO             
A	ID4450127238368310004	1RUMOR       	 DIWALDO     	A	3820 	HWY 54              
A	ID4450127238368310001	1RUMOR       	 BERNADINA   	 	3820 	HWY 54              
A	ID4450127238368310003	1RUMOR       	 TERRAN      	L	3820 	HWY 54              
A	ID4450127238368310005	1RUMOR       	 ZAKIYA      	A	3820 	HWY 54              
A	ID4450127238368310002	1RUMOR       	             	A	3820 	HWY 54              
A	ID4450127238387310002	ALSTIN       	 LEO         	E	612  	OCONEE              
A	ID4450127238387310003	ALSTIN       	 MICHEAL     	 	612  	OCONEE              
A	ID4450127238387310001	ALSTIN       	 ROSE        	 	612  	OCONEE              
A	ID4450127238383210002	CAMPBELL     	 ANTONINO    	E	604  	OCONEE              
A	ID4450127238383210001	CAMPBELL     	 JESSICA     	A	604  	OCONEE              
A	ID4450127238383210004	CAMPBELL     	 MARINELA    	E	604  	OCONEE              
A	ID4450127238383210005	CAMPBELL     	             	D	604  	OCONEE              
A	ID4450127238376610001	CARR         	 DARRYL      	B	501  	RUBY                
A	ID4450127238376610003	CARR         	 BERRY       	J	501  	RUBY                
A	ID4450127238376610002	CARR         	 ROSELINE    	D	501  	RUBY                
A	ID4450127238404610002	CARTER       	 RODRICK     	 	14135	22ND                
A	ID4450127238404610001	CARTER       	 JOANNIE     	 	14135	22ND                
A	ID4450127238379010003	CAVAJEL      	 ADMAN       	L	607  	MARTIN LUTHER K     
A	ID4450127238379010004	CAVAJEL      	 STEPHEN     	D	607  	MARTIN LUTHER K     
A	ID4450127238379010001	CAVAJEL      	 MALISSA     	L	607  	MARTIN LUTHER K     
A	ID4450127238379010002	CAVAJEL      	 SARAH       	L	607  	MARTIN LUTHER K     
A	ID4450127238398010001	CHAMBARS     	 LAWRENCE    	 	14180	22ND                
A	ID4450127238398010002	CHAMBARS     	 EUGENE      	F	14180	22ND                
A	ID4450127238358410001	COLBY        	             	J	303  	MAIN                
A	ID4450127238350110001	COUPE        	 MARKO       	 	104  	GEORGE              
A	ID4450127238350110002	COUPE        	             	P	104  	GEORGE              
A	ID4450127238362610001	CRIDER       	 GUILLERMO   	E	106  	WARE                
A	ID4450127238362610002	CRIDER       	 MARCO       	M	106  	WARE                
A	ID4450127238399810001	DAVIES       	 W           	U	14220	22ND                
A	ID4450127238399810002	DAVIES       	 MICHELE     	N	14220	22ND                
A	ID4450127238399810003	DAVIES       	 RENEE       	M	14220	22ND                
A	ID4450127238399810004	DAVIES       	 SARAH       	N	14220	22ND                
A	ID4450127238359210001	DEGRAENED    	 GERARDO     	D	128  	WARE                
A	ID4450127238359210002	DEGRAENED    	 ALLAN       	R	128  	WARE                
A	ID4450127238389910001	DORMAN       	             	W	616  	OCONEE              
A	ID4450127238389910002	DORMAN       	             	R	616  	OCONEE              
A	ID4450127238389910003	DORMAN       	             	N	616  	OCONEE              
A	ID4450127238354310001	DOWOKAKOKO   	 GREG        	S	103  	JOHNSON             
A	ID4450127238354310003	DOWOKAKOKO   	 A           	A	103  	JOHNSON             
A	ID4450127238354310002	DOWOKAKOKO   	             	A	103  	JOHNSON             
A	ID4450127238378210004	EASLEY       	 MATTHEW     	 	613  	MARTIN LUTHER K     
A	ID4450127238378210001	EASLEY       	 FLORIPE     	D	613  	MARTIN LUTHER K     
A	ID4450127238378210002	EASLEY       	 KERI        	D	613  	MARTIN LUTHER K     
A	ID4450127238378210003	EASLEY       	 NILSA       	D	613  	MARTIN LUTHER K     
A	ID4450127238355010001	ELLIOTT      	 CHERYL      	 	102  	CHURCH              
A	ID4450127238355010002	ELLIOTT      	 FLAINE      	A	102  	CHURCH              
A	ID4450127238381610002	ERVINE       	 ALE JARDRO  	A	601  	MARTIN LUTHER K     
A	ID4450127238381610003	ERVINE       	 JUAN        	E	601  	MARTIN LUTHER K     
A	ID4450127238381610001	ERVINE       	 ZIONARA     	T	601  	MARTIN LUTHER K     
A	ID4450127238381610004	ERVINE       	             	E	601  	MARTIN LUTHER K     
A	ID4450127238406110001	FREY         	 ETHNY       	B	14225	22ND                
A	ID4450127238360010001	GARRETT      	 SHAWNETT    	R	124  	WARE                
A	ID4450127238360010002	GARRETT      	 HARRIET     	R	124  	WARE                
A	ID4450127238349310001	GORDON       	 KRISTY      	L	303  	WOODHAVEN           
A	ID4450127238349310002	GORDON       	 DIANE       	M	303  	WOODHAVEN           
A	ID4450127238349310003	GORDON       	 ROSEMARIE   	 	303  	WOODHAVEN           
A	ID4450127238352710002	GRANER       	 DANIEL      	 	100  	GEORGE              
A	ID4450127238352710003	GRANER       	 ROBERT      	R	100  	GEORGE              
A	ID4450127238352710001	GRANER       	 MARJORIE    	A	100  	GEORGE              
A	ID4450127238384010001	GREENE       	 EDUARDSO    	A	606  	OCONEE              
A	ID4450127238384010002	GREENE       	 SONDRA      	C	606  	OCONEE              
A	ID4450127238384010003	GREENE       	 ANN         	A	606  	OCONEE              
A	ID4450127238384010004	GREENE       	 MICHELE     	M	606  	OCONEE              
A	ID4450127238384010005	GREENE       	 ROSETA      	A	606  	OCONEE              
A	ID4450127238365910002	GUIDETI      	             	D	3454 	HWY 54              
A	ID4450127238374110002	HAMMONDS     	 JAMES       	C	505  	RUBY                
A	ID4450127238374110003	HAMMONDS     	 LENWOOD     	M	505  	RUBY                
A	ID4450127238374110001	HAMMONDS     	 TRACEY      	R	505  	RUBY                
A	ID4450127238405310002	HANKINS      	 STEPHENE    	 	14215	22ND                
A	ID4450127238405310001	HANKINS      	 PAYMM       	T	14215	22ND                
A	ID4450127238385710001	HEAVENER     	             	R	608  	OCONEE              
A	ID4450127238385710003	HEAVENER     	             	R	608  	OCONEE              
A	ID4450127238385710002	HEAVENER     	             	V	608  	OCONEE              
A	ID4450127238375810001	HETTERICH    	 JOHNNY      	 	503  	RUBY                
A	ID4450127238397210001	HOLLEY       	 MICHEAL     	T	14170	22ND                
A	ID4450127238397210003	HOLLEY       	 DIMON       	T	14170	22ND                
A	ID4450127238397210002	HOLLEY       	 KATHERINE   	A	14170	22ND                
A	ID4450127238397210004	HOLLEY       	 CHARLOTTE   	E	14170	22ND                
A	ID4450127238372510001	HUDSON       	 JACQUELINE  	 	3886 	HWY 54              
A	ID4450127238388110002	HUSSEINKHEL  	 ARCHIE      	 	614  	OCONEE              
A	ID4450127238388110001	HUSSEINKHEL  	             	 	614  	OCONEE              
A	ID4450127238394910003	KEARNS       	             	A	626  	OCONEE              
A	ID4450127238394910004	KEARNS       	             	 	626  	OCONEE              
A	ID4450127238394910001	KEARNS       	             	E	626  	OCONEE              
A	ID4450127238394910002	KEARNS       	             	M	626  	OCONEE              
A	ID4450127238395610001	KEICHENBERG  	 SUSAN       	L	14150	22ND                
A	ID4450127238395610002	KEICHENBERG  	 JUDY        	A	14150	22ND                
A	ID4450127238391510002	KLEIMAN      	 ANTONIO     	B	622  	OCONEE              
A	ID4450127238391510001	KLEIMAN      	 JOCELYN     	V	622  	OCONEE              
A	ID4450127238386510001	LESKO        	 CLEARANCE   	 	610  	OCONEE              
A	ID4450127238386510002	LESKO        	 BEN         	 	610  	OCONEE              
A	ID4450127238386510003	LESKO        	             	 	610  	OCONEE              
A	ID4450127238364210001	MACCIO       	 ORESTE      	S	106  	WARE                
A	ID4450127238364210002	MACCIO       	 OLIVIA      	E	106  	WARE                
A	ID4450127238409510001	MARTINEZ STG 	 ERIKA       	M	14255	22ND                
A	ID4450127238409510002	MARTINEZ STG 	             	 	14255	22ND                
A	ID4450127238409510003	MARTINEZ STG 	             	 	14255	22ND                
A	ID4450127238403810002	MCALLISTER   	 GEOFFREY    	M	14270	22ND                
A	ID4450127238403810001	MCALLISTER   	 JEANETTE    	M	14270	22ND                
A	ID4450127257775510002	MOHRING      	 DOMINIQUE   	B	701  	31ST                
A	ID4450127257775510001	MOHRING      	 JANICE      	M	701  	31ST                
A	ID4450127238348510001	MOSES        	 SHIRLEG     	 	305  	WOODHAVEN           
A	ID4450127238367510001	OBROCK       	             	G	3732 	HWY 54              
A	ID4450127238357610001	PEARL        	             	 	209  	MAIN                
A	ID4450127238357610002	PEARL        	             	C	209  	MAIN                
A	ID4450127238396410001	RAGLIN       	 REYAN       	 	14160	22ND                
A	ID4450127238377410001	REAVES       	             	B	625  	MARTIN LUTHER K     
A	ID4450127238377410003	REAVES       	             	J	625  	MARTIN LUTHER K     
A	ID4450127238377410002	REAVES       	             	D	625  	MARTIN LUTHER K     
A	ID4450127238407910002	RODRIGUEZ    	 QUENTIN     	R	14235	22ND                
A	ID4450127238407910001	RODRIGUEZ    	 STEPHANIE   	R	14235	22ND                
A	ID4450127238401210003	ROTHSHILD    	 PHILLIP     	 	14240	22ND                
A	ID4450127238401210001	ROTHSHILD    	 J           	L	14240	22ND                
A	ID4450127238401210002	ROTHSHILD    	 HILLIARD    	E	14240	22ND                
A	ID4450127238361810002	RUDASILL     	 DOMINIC     	A	122  	WARE                
A	ID4450127238361810004	RUDASILL     	 SEPTIMIA    	E	122  	WARE                
A	ID4450127238361810001	RUDASILL     	 KIMBERLY    	L	122  	WARE                
A	ID4450127238361810003	RUDASILL     	 ALISA       	M	122  	WARE                
A	ID4450127238361810005	RUDASILL     	             	S	122  	WARE                
A	ID4450127238371710001	RUEHLING     	 TRACIE      	D	3870 	HWY 54              
A	ID4450127238371710002	RUEHLING     	 MELISSA     	A	3870 	HWY 54              
A	ID4450127238369110001	RUMOR        	             	A	3840 	HWY 54              
A	ID4450127238393110002	RUSSALL      	 MYRIAM      	S	624  	OCONEE              
A	ID4450127238393110003	RUSSALL      	 JORGE       	L	624  	OCONEE              
A	ID4450127238393110001	RUSSALL      	 LYNNETTE    	C	624  	OCONEE              
A	ID4450127238353510002	SANTIAGO     	 PELHAM      	 	101  	JOHNSON             
A	ID4450127238353510003	SANTIAGO     	 GEORGE      	L	101  	JOHNSON             
A	ID4450127238353510001	SANTIAGO     	 ANGELA      	E	101  	JOHNSON             
A	ID4450127238353510004	SANTIAGO     	 JESSEE      	T	101  	JOHNSON             
A	ID4450127238366710001	SQUILLANTE   	 LUIS        	A	3556 	HWY 54              
A	ID4450127238366710002	SQUILLANTE   	 GERAR       	 	3556 	HWY 54              
A	ID4450127238382410004	SWAGOI       	 CHARLES     	A	600  	OCONEE              
A	ID4450127238382410005	SWAGOI       	 ISRAEL      	M	600  	OCONEE              
A	ID4450127238382410001	SWAGOI       	 MARY CAROLE 	T	600  	OCONEE              
A	ID4450127238382410002	SWAGOI       	             	B	600  	OCONEE              
A	ID4450127238382410003	SWAGOI       	             	C	600  	OCONEE              
A	ID4450127238400410001	SYKS         	 KATHERINE   	M	14230	22ND                
A	ID4450127238356810001	TONSTALL     	 NICHOLE     	L	201  	MAIN                
A	ID4450127238356810002	TONSTALL     	 MARY        	C	201  	MAIN                
A	ID4450127238356810003	TONSTALL     	 HARRIETT    	J	201  	MAIN                
A	ID4450127238380810001	WASHINGTON   	 J           	P	603  	MARTIN LUTHER K     
A	ID4450127238380810003	WASHINGTON   	 STEPHENS    	I	603  	MARTIN LUTHER K     
A	ID4450127238380810004	WASHINGTON   	 AMAURY      	P	603  	MARTIN LUTHER K     
A	ID4450127238380810002	WASHINGTON   	 XIOMARA     	E	603  	MARTIN LUTHER K     
A	ID4450127238370910001	WIESMAN      	             	V	3850 	HWY 54              
A	ID4445112314664910001	BELL         	 GLORIANNE   	M	7111 	3RD                 
A	ID4445112314670610001	BRAWD        	 ALLEN       	J	7126 	2ND                 
A	ID4445112314670610002	BRAWD        	 ANN0        	D	7126 	2ND                 
A	ID4445113314679710001	CARTER       	 JEAN        	B	410  	72ND                
A	ID4445113314682110001	DUCOTY       	 DOUGASS     	S	7134 	3RD                 
A	ID4445113314682110002	DUCOTY       	 MICLELLE    	C	7134 	3RD                 
A	ID4445113314680510001	DUFFY TYLER  	 L           	A	400  	72ND                
A	ID4445113314680510003	DUFFY TYLER  	 D           	J	400  	72ND                
A	ID4445113314680510004	DUFFY TYLER  	 BENJAMIN    	M	400  	72ND                
A	ID4445113314680510002	DUFFY TYLER  	 ALICIA      	 	400  	72ND                
A	ID4445113314680510005	DUFFY TYLER  	 GERALDENE   	L	400  	72ND                
A	ID4445113314680510006	DUFFY TYLER  	 NATSHA      	M	400  	72ND                
A	ID4445113314675510001	EHM          	 JESUS       	A	419  	VILLAGRANDE         
A	ID4445113314675510002	EHM          	 ETHEL       	J	419  	VILLAGRANDE         
A	ID4445113314675510003	EHM          	             	M	419  	VILLAGRANDE         
A	ID4445113314674810001	GASBARRO     	 PABLOS      	U	401  	VILLAGRANDE         
A	ID4445113314674810002	GASBARRO     	 LEANNE      	 	401  	VILLAGRANDE         
A	ID4445113314674810003	GASBARRO     	 ERIN        	K	401  	VILLAGRANDE         
A	ID4445113314674810005	GASBARRO     	 JO          	 	401  	VILLAGRANDE         
A	ID4445113314674810004	GASBARRO     	             	A	401  	VILLAGRANDE         
A	ID4445113314681310001	HELLER       	 DIXION      	J	318  	72ND                
A	ID4445113314681310003	HELLER       	 DOREN       	J	318  	72ND                
A	ID4445113314681310002	HELLER       	 TEGIRA      	J	318  	72ND                
A	ID4445113314681310004	HELLER       	 AGELEON     	M	318  	72ND                
A	ID4445113314681310005	HELLER       	             	J	318  	72ND                
A	ID4445113314681310006	HELLER       	             	A	318  	72ND                
A	ID4445112314672210001	HOPPER       	 ARISTIDES   	C	7100 	2ND                 
A	ID4445112314672210003	HOPPER       	 CARLOS      	C	7100 	2ND                 
A	ID4445112314672210002	HOPPER       	 ROSEY       	B	7100 	2ND                 
A	ID4445112314666410001	HUBRIC       	 CHARLES     	P	7127 	3RD                 
A	ID4445112314666410002	HUBRIC       	 DIANE       	 	7127 	3RD                 
A	ID4445113314673010001	PAINE WELLS  	 SIGFREDO    	J	231  	71ST                
A	ID4445113314673010003	PAINE WELLS  	 AGEL        	J	231  	71ST                
A	ID4445113314673010004	PAINE WELLS  	 OSWALDO     	J	231  	71ST                
A	ID4445113314673010005	PAINE WELLS  	 IGNACIO     	J	231  	71ST                
A	ID4445113314673010002	PAINE WELLS  	 BARBARA     	C	231  	71ST                
A	ID4445113314676310001	PENSETH      	 JEFFREY     	J	427  	VILLAGRANDE         
A	ID4445113314676310002	PENSETH      	 THRESA      	A	427  	VILLAGRANDE         
A	ID4445113314676310003	PENSETH      	 ANNE        	A	427  	VILLAGRANDE         
A	ID4445112314667210001	POLLACK      	 ANDREW E    	 	7139 	3RD                 
A	ID4445112314667210003	POLLACK      	 JAMAR       	F	7139 	3RD                 
A	ID4445112314667210005	POLLACK      	 DARON       	S	7139 	3RD                 
A	ID4445112314667210006	POLLACK      	 SHAWN       	P	7139 	3RD                 
